    K03282.01   0.54   0.55  49.28   2.19  17.40   0.22 0.22  0.001  0.024  0.208  0.028  0.297  0.847
  Kepler-438b   0.52   0.54  35.23   1.14   1.60   0.17 0.42  0.000  0.004  0.035  0.004  0.047  0.136
    K03391.01   0.54   0.53  36.77   1.56   5.04   0.18 0.11  0.000  0.006  0.052  0.006  0.069  0.200
    K03407.01   0.74   0.81  92.44   2.34  22.31   0.37 0.01  0.009  0.313  2.696  0.438  4.430 12.175
    K03443.01   0.71   0.76  96.17   2.35  22.76   0.38 0.03  0.011  0.368  3.170  0.520  5.244 14.391
    K03508.01   0.99   1.04 190.80   1.82   8.82   0.66 0.06  0.155  4.748 15.000  7.892 15.000 15.000
    K03966.01   0.84   0.93 138.94   2.13  15.75   0.51 0.04  0.047  1.491 12.946  2.312 15.000 15.000
    K04036.01   0.76   0.74 168.81   2.05  13.81   0.54 0.43  0.102  3.160 15.000  5.104 15.000 15.000
    K04054.01   0.78   0.86 169.13   2.20  17.84   0.57 0.19  0.108  3.332 15.000  5.394 15.000 15.000
    K04060.01   0.89   0.93 225.26   2.09  14.71   0.71 0.17  0.334 10.072 15.000 15.000 15.000 15.000
  Kepler-440b   0.56   0.59 101.11   1.90  10.45   0.36 0.53  0.012  0.391  3.372  0.559  5.638 15.000
    K04103.01   0.68   0.71 184.77   2.38  23.51   0.57 0.12  0.162  4.976 15.000  8.161 15.000 15.000
    K04242.01   0.99   1.10 145.79   2.22  18.48   0.56 0.02  0.059  1.857 15.000  2.896 15.000 15.000
    K04290.01   0.16   0.13   4.84   0.83   0.54   0.03 0.15  0.000  0.000  0.000  0.000  0.000  0.000
    K04307.01   0.97   0.95 160.85   2.30  21.06   0.57 0.01  0.091  2.811 15.000  4.448 15.000 15.000
    K04333.01   1.06   1.07 309.26   2.37  23.21   0.92 0.07  1.303 15.000 15.000 15.000 15.000 15.000
    K04356.01   0.46   0.50 174.51   2.07  14.24   0.48 0.18  0.118  3.626 15.000  5.880 15.000 15.000
    K04367.01   0.95   1.02 170.99   2.38  23.86   0.61 0.01  0.119  3.665 15.000  5.865 15.000 15.000
    K04426.01   1.45   1.08 369.13   2.32  21.66   1.03 0.03  2.629 15.000 15.000 15.000 15.000 15.000
    K04450.01   0.82   0.89 196.44   2.19  17.61   0.64 0.20  0.198  6.030 15.000  9.957 15.000 15.000
    K04460.01   0.96   0.87 284.73   2.28  20.29   0.81 0.14  0.912 15.000 15.000 15.000 15.000 15.000
    K04550.01   0.70   0.68 140.25   1.91  10.68   0.46 0.54  0.046  1.444 12.543  2.239 15.000 15.000
    K04583.01   0.77   0.84 330.91   2.28  20.31   0.88 0.19  1.673 15.000 15.000 15.000 15.000 15.000
  Kepler-441b   0.55   0.57 207.25   1.79   8.33   0.57 0.31  0.215  6.532 15.000 11.000 15.000 15.000
  Kepler-442b   0.60   0.61 112.31   1.62   5.84   0.39 0.84  0.017  0.536  4.628  0.777  7.898 15.000
  Kepler-443b   0.71   0.75 177.67   2.35  22.75   0.56 0.13  0.138  4.233 15.000  6.850 15.000 15.000
    K04810.01   0.87   0.97 115.24   2.26  19.64   0.46 0.02  0.023  0.737  6.369  1.086 10.925 15.000
    K04878.01   1.07   0.97 449.01   1.13   1.57   1.14 0.80  3.625 15.000 15.000 15.000 15.000 15.000
    K04902.01   0.80   0.77 409.39   2.01  12.77   0.99 0.28  3.631 15.000 15.000 15.000 15.000 15.000
    K04926.01   0.70   0.68  69.08   1.67   6.49   0.29 0.12  0.002  0.079  0.674  0.100  1.040  2.907
    K04961.01   0.79   0.84 348.96   2.09  14.74   0.91 0.24  1.958 15.000 15.000 15.000 15.000 15.000
    K04986.01   0.73   0.81 444.04   1.62   5.79   1.06 0.65  4.375 15.000 15.000 15.000 15.000 15.000
    K04991.01   0.91   1.00 211.33   2.29  20.57   0.69 0.08  0.274  8.293 15.000 13.946 15.000 15.000
    K05068.01   1.05   0.92 385.29   1.70   6.90   1.01 0.36  2.549 15.000 15.000 15.000 15.000 15.000
    K05087.01   1.26   0.96 651.07   1.71   7.01   1.45 0.73 15.000 15.000 15.000 15.000 15.000 15.000
    K05098.01   0.90   0.82 100.35   1.73   7.39   0.39 0.04  0.011  0.357  3.075  0.506  5.130 14.050
    K05101.01   1.50   0.99 436.19   1.77   8.10   1.12 0.11  4.322 15.000 15.000 15.000 15.000 15.000
    K05121.01   1.91   1.39 401.20   2.27  19.91   1.19 0.03  3.623 15.000 15.000 15.000 15.000 15.000
    K05135.01   0.76   0.83 314.77   2.23  18.62   0.85 0.22  1.346 15.000 15.000 15.000 15.000 15.000
    K05164.01   1.04   1.09 209.97   1.25   2.23   0.71 0.08  0.179  5.438 15.000  9.177 15.000 15.000
    K05176.01   0.86   0.81 215.73   1.35   2.97   0.65 0.40  0.211  6.377 15.000 10.928 15.000 15.000
    K05196.01   1.13   1.15 392.47   2.39  24.18   1.10 0.05  3.433 15.000 15.000 15.000 15.000 15.000
    K05202.01   0.96   1.04 535.94   1.92  10.79   1.31 0.51 10.418 15.000 15.000 15.000 15.000 15.000
    K05236.01   1.03   1.09 550.86   2.15  16.25   1.35 0.34 12.513 15.000 15.000 15.000 15.000 15.000
    K05237.01   0.74   0.82 380.39   2.00  12.45   0.96 0.43  2.689 15.000 15.000 15.000 15.000 15.000
    K05248.01   0.82   0.77 179.25   1.48   4.14   0.57 0.33  0.105  3.238 15.000  5.295 15.000 15.000
    K05254.01   1.50   1.05 232.92   1.31   2.71   0.75 0.02  0.283  8.511 15.000 14.794 15.000 15.000
    K05276.01   0.70   0.75 220.72   2.45  26.46   0.65 0.04  0.341 10.313 15.000 15.000 15.000 15.000
    K05279.01   0.84   0.89 103.72   1.69   6.75   0.42 0.03  0.012  0.401  3.455  0.569  5.812 15.000
    K05290.01   0.88   0.98 435.51   2.26  19.74   1.12 0.20  5.034 15.000 15.000 15.000 15.000 15.000
    K05372.01   1.21   1.02 212.60   1.81   8.68   0.70 0.09  0.240  7.283 15.000 12.230 15.000 15.000
    K05387.01   0.59   0.58 297.78   1.27   2.43   0.73 0.02  0.749 15.000 15.000 15.000 15.000 15.000
    K05398.01   0.89   1.00 551.22   2.31  21.29   1.32 0.13 13.165 15.000 15.000 15.000 15.000 15.000
    K05413.01   0.95   0.80 428.38   2.04  13.59   1.03 0.42  4.407 15.000 15.000 15.000 15.000 15.000
    K05475.01   0.81   0.85 448.30   1.79   8.41   1.08 0.64  4.859 15.000 15.000 15.000 15.000 15.000
    K05476.01   0.93   1.02 148.17   2.35  22.50   0.55 0.02  0.066  2.052 15.000  3.179 15.000 15.000
    K05499.01   0.67   0.65 122.58   1.30   2.63   0.42 0.53  0.021  0.658  5.700  0.980  9.908 15.000
    K05506.01   1.03   1.09 641.60   1.73   7.43   1.50 0.69 15.000 15.000 15.000 15.000 15.000 15.000
    K05528.01   0.92   0.94 201.62   2.21  17.95   0.66 0.09  0.221  6.712 15.000 11.217 15.000 15.000
    K05541.01   0.90   0.98 339.63   2.24  18.87   0.95 0.26  1.834 15.000 15.000 15.000 15.000 15.000
    K05545.01   0.80   0.88 541.04   1.18   1.82   1.25 0.69  7.883 15.000 15.000 15.000 15.000 15.000
    K05554.01   1.28   0.88 362.22   1.01   1.03   0.95 0.22  1.417 15.000 15.000 15.000 15.000 15.000
    K05556.01   1.01   0.90 631.99   2.04  13.49   1.39 0.34 15.000 15.000 15.000 15.000 15.000 15.000
    K05568.01   0.92   1.01 186.40   1.14   1.62   0.64 0.10  0.104  3.199 15.000  5.295 15.000 15.000
    K05570.01   0.82   0.88 574.65   2.41  24.84   1.30 0.05 15.000 15.000 15.000 15.000 15.000 15.000
    K05623.01   1.12   1.08 583.76   2.17  16.84   1.40 0.32 15.000 15.000 15.000 15.000 15.000 15.000
    K05638.01   1.15   1.16 290.02   1.64   6.15   0.90 0.18  0.794 15.000 15.000 15.000 15.000 15.000
    K05651.01   0.77   0.73  83.50   1.81   8.69   0.34 0.07  0.005  0.177  1.517  0.242  2.437  6.735
    K05652.01   0.63   0.62  91.51   1.59   5.37   0.34 0.30  0.007  0.234  2.009  0.326  3.292  9.049
    K05653.01   0.67   0.65 188.66   2.27  19.96   0.56 0.21  0.172  5.252 15.000  8.591 15.000 15.000
    K05657.01   1.03   1.03 284.70   2.16  16.63   0.85 0.15  0.879 15.000 15.000 15.000 15.000 15.000
    K05666.01   0.93   0.95 182.45   1.37   3.17   0.62 0.13  0.108  3.312 15.000  5.484 15.000 15.000
    K05671.01   1.13   0.98 190.91   1.86   9.62   0.64 0.03  0.158  4.833 15.000  7.990 15.000 15.000
    K05694.01   0.80   0.88 107.90   1.38   3.25   0.42 0.11  0.013  0.412  3.553  0.591  6.015 15.000
    K05704.01   0.72   0.77  96.17   1.28   2.50   0.38 0.23  0.008  0.248  2.138  0.351  3.539  9.716
    K05736.01   0.84   0.92 161.65   1.45   3.87   0.57 0.24  0.068  2.120 15.000  3.398 15.000 15.000
    K05737.01   0.96   0.98 376.24   1.43   3.66   1.01 0.92  2.069 15.000 15.000 15.000 15.000 15.000
    K05749.01   0.69   0.74 281.95   2.43  25.67   0.76 0.04  0.914 15.000 15.000 15.000 15.000 15.000
    K05758.01   0.79   0.87 102.49   2.18  17.08   0.41 0.08  0.014  0.451  3.886  0.641  6.510 15.000
    K05798.01   0.76   0.83 318.26   2.28  20.13   0.86 0.17  1.427 15.000 15.000 15.000 15.000 15.000
    K05801.01   0.92   1.01 177.38   2.15  16.32   0.62 0.10  0.129  3.963 15.000  6.463 15.000 15.000
    K05806.01   0.97   0.98 313.83   1.38   3.20   0.90 0.63  0.972 15.000 15.000 15.000 15.000 15.000
    K05810.01   1.44   0.93 425.59   2.42  25.28   1.08 0.05  4.796 15.000 15.000 15.000 15.000 15.000
    K05819.01   0.73   0.80 381.38   1.35   2.96   0.95 0.76  2.103 15.000 15.000 15.000 15.000 15.000
    K05825.01   1.20   0.79 208.05   2.22  18.35   0.63 0.01  0.252  7.635 15.000 12.897 15.000 15.000
    K05829.01   0.86   0.98 583.85   2.08  14.45   1.36 0.24 15.000 15.000 15.000 15.000 15.000 15.000
    K05856.01   0.85   0.77 259.34   1.77   8.10   0.73 0.40  0.531 15.000 15.000 15.000 15.000 15.000
    K05885.01   0.95   1.06 111.15   2.05  13.81   0.46 0.01  0.019  0.599  5.176  0.867  8.825 15.000
    K05888.01   0.80   0.89 190.86   1.98  12.14   0.62 0.35  0.165  5.033 15.000  8.313 15.000 15.000
    K05902.01   0.87   0.97 150.73   1.39   3.31   0.55 0.19  0.050  1.561 13.582  2.467 15.000 15.000
    K05918.01   0.87   0.87  94.68   1.60   5.56   0.39 0.05  0.008  0.269  2.316  0.375  3.823 10.504
    K05938.01   1.16   1.08 545.21   1.78   8.21   1.34 0.66 10.630 15.000 15.000 15.000 15.000 15.000
    K05948.01   0.76   0.83 398.51   1.31   2.66   1.00 0.84  2.464 15.000 15.000 15.000 15.000 15.000
    K05949.01   1.11   1.01 559.79   2.01  12.76   1.33 0.48 12.786 15.000 15.000 15.000 15.000 15.000
    K05950.01   0.74   0.82 109.44   1.11   1.44   0.42 0.21  0.012  0.377  3.253  0.550  5.533 15.000
    K05952.01   1.02   0.91 164.51   2.32  21.49   0.57 0.02  0.100  3.085 15.000  4.971 15.000 15.000
    K05959.01   0.90   0.98 251.49   1.72   7.21   0.78 0.40  0.459 13.755 15.000 15.000 15.000 15.000
    K06108.01   0.96   0.81 485.92   1.16   1.70   1.13 0.87  5.057 15.000 15.000 15.000 15.000 15.000
    K06151.01   0.75   0.81 431.79   1.49   4.24   1.04 0.74  3.698 15.000 15.000 15.000 15.000 15.000
    K06239.01   0.88   0.95 406.50   1.88  10.02   1.06 0.58  3.379 15.000 15.000 15.000 15.000 15.000
    K06343.01   0.95   1.02 569.45   2.19  17.37   1.36 0.27 14.470 15.000 15.000 15.000 15.000 15.000
    K06425.01   0.95   0.88 521.11   1.57   5.22   1.22 0.84  8.179 15.000 15.000 15.000 15.000 15.000
    K06610.01   0.84   0.77 315.08   2.43  25.64   0.83 0.07  1.431 15.000 15.000 15.000 15.000 15.000
    K06676.01   0.96   1.02 439.25   1.93  11.06   1.14 0.44  4.699 15.000 15.000 15.000 15.000 15.000
    K06971.01   0.79   0.76 129.22   1.87   9.89   0.46 0.29  0.032  1.028  8.912  1.543 15.000 15.000
  Kepler-452b   1.11   0.94 384.84   1.71   7.06   1.01 0.60  2.547 15.000 15.000 15.000 15.000 15.000
    K07040.01   0.73   0.81 502.23   1.56   5.13   1.15 0.70  7.026 15.000 15.000 15.000 15.000 15.000
    K07073.01   1.14   1.08 278.99   1.96  11.70   0.86 0.11  0.761 15.000 15.000 15.000 15.000 15.000
    K07099.01   0.50   0.50  34.04   1.08   1.34   0.16 0.09  0.000  0.003  0.030  0.004  0.039  0.114
    K07179.01   1.20   1.00 407.12   1.28   2.48   1.08 0.61  2.652 15.000 15.000 15.000 15.000 15.000
    K07223.01   0.73   0.77 317.05   1.81   8.77   0.83 0.57  1.212 15.000 15.000 15.000 15.000 15.000
    K07235.01   0.76   0.83 299.67   1.24   2.17   0.82 0.93  0.752 15.000 15.000 15.000 15.000 15.000
    K07345.01   1.02   1.09 377.50   2.41  24.98   1.05 0.07  2.952 15.000 15.000 15.000 15.000 15.000
    K07470.01   0.99   0.87 392.51   2.18  17.13   1.00 0.28  3.230 15.000 15.000 15.000 15.000 15.000
    K07554.01   1.09   1.07 482.61   2.20  17.84   1.23 0.26  7.474 15.000 15.000 15.000 15.000 15.000
    K07587.01   0.94   0.95 366.09   2.29  20.66   0.98 0.20  2.521 15.000 15.000 15.000 15.000 15.000
    K07591.01   0.67   0.72 328.33   1.39   3.36   0.84 0.52  1.176 15.000 15.000 15.000 15.000 15.000
    K07617.01   0.38   0.40  12.93   0.69   0.30   0.08 0.05  0.000  0.000  0.001  0.000  0.001  0.002
