# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 17 16:27:30 2015
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_jmag:       J-band [mag]
#
rowid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_jmag
35,K00042.01,Kepler-410 A b,CONFIRMED,17.833682110000,0.004800,4.54030,327.9000,859.0,6325.00,4.264,1.3610,9.364,8.417
36,K00043.01,,FALSE POSITIVE,11.320277960000,6.644500,4.78150,4880.6000,811.0,5780.00,4.438,1.0000,13.290,14.617
37,K00044.01,,FALSE POSITIVE,66.467518640000,0.103500,19.68270,13023.3000,462.0,5843.00,4.418,1.0550,13.483,12.067
38,K00045.01,,FALSE POSITIVE,6.397189809000,0.835100,5.71360,16380.6000,981.0,5780.00,4.438,1.0000,13.133,14.735
39,K00046.01,Kepler-101 b,CONFIRMED,3.487689428000,0.035600,3.84268,1340.0000,1291.0,5761.00,4.325,1.2080,13.770,12.403
40,K00046.02,Kepler-101 c,CONFIRMED,6.029795180000,0.414300,3.91000,55.5000,1075.0,5761.00,4.325,1.2080,13.770,12.403
41,K00048.01,,CANDIDATE,23.836805340000,1.781100,6.17660,29614.0000,919.0,6095.00,3.894,1.9400,13.722,12.451
42,K00049.01,,CANDIDATE,8.313783059000,0.050000,2.99270,810.3000,886.0,5900.00,4.509,0.9510,13.704,12.253
43,K00051.01,,CANDIDATE,10.431147960000,1.257800,3.73688,28278.5000,833.0,5780.00,4.438,1.0000,13.761,15.681
44,K00052.01,,FALSE POSITIVE,2.987862296000,0.618200,2.57760,42506.0000,1065.0,5234.00,4.543,0.8210,13.109,12.440
45,K00053.01,,FALSE POSITIVE,3.388886432000,0.781000,2.54620,11090.1000,1213.0,5780.00,4.438,1.0000,13.513,13.230
46,K00061.01,,FALSE POSITIVE,1.633460327000,1.169700,3.61950,586.0000,1749.0,6283.00,4.372,1.0910,12.179,11.215
47,K00063.01,Kepler-63 b,CONFIRMED,9.434151089000,0.360300,2.77950,4024.3000,789.0,5650.00,4.551,0.8760,11.582,10.399
48,K00064.01,,CANDIDATE,1.951082340000,0.916700,1.68900,1157.5000,2007.0,5302.00,3.767,2.4370,13.143,11.759
49,K00065.01,,FALSE POSITIVE,27.254719930000,,0.73000,,,,,,11.679,10.557
50,K00066.01,,FALSE POSITIVE,0.436282471000,1.833000,1.21527,533.1000,5520.0,8439.00,3.751,3.1440,11.002,10.464
51,K00068.01,,FALSE POSITIVE,1.000840758000,1.528600,1.32820,2655.2000,2222.0,6284.00,4.212,1.1950,12.733,11.741
52,K00069.01,Kepler-93 b,CONFIRMED,4.726739475000,0.682000,2.92690,266.4000,1039.0,5669.00,4.466,0.9210,9.931,8.771
53,K00070.01,Kepler-20 c,CONFIRMED,10.854097835000,0.438400,3.77470,1051.0000,765.0,5465.00,4.449,0.9250,12.498,11.252
54,K00070.02,Kepler-20 b,CONFIRMED,3.696119675000,0.842400,2.54740,396.7000,1095.0,5465.00,4.449,0.9250,12.498,11.252
55,K00070.03,Kepler-20 d,CONFIRMED,77.611598700000,0.120600,7.25660,827.5000,397.0,5465.00,4.449,0.9250,12.498,11.252
56,K00070.04,Kepler-20 e,CONFIRMED,6.098536720000,0.563600,2.88100,74.8000,927.0,5465.00,4.449,0.9250,12.498,11.252
57,K00070.05,Kepler-20 f,CONFIRMED,19.577628600000,0.326800,3.74400,115.6000,628.0,5465.00,4.449,0.9250,12.498,11.252
58,K00072.01,Kepler-10 b,CONFIRMED,0.837491331000,0.048900,1.80760,191.9000,1968.0,5627.00,4.342,1.0560,10.961,9.889
59,K00072.02,Kepler-10 c,CONFIRMED,45.294317170000,0.019000,6.87140,476.8000,521.0,5627.00,4.342,1.0560,10.961,9.889
60,K00074.01,,FALSE POSITIVE,5.188670548000,0.089100,4.61816,593.6000,2118.0,9525.00,4.205,1.9420,10.960,10.679
61,K00075.01,,CANDIDATE,105.882392800000,0.748100,18.06900,1472.6000,596.0,5896.00,3.756,2.5270,10.775,9.692
62,K00076.01,,CANDIDATE,77.479718800000,0.011500,10.17230,1253.9000,695.0,6715.00,3.922,2.3010,10.143,9.343
63,K00080.01,,FALSE POSITIVE,9.250589180000,3.380800,3.55590,1050.8000,1966.0,8133.00,3.715,3.2940,11.310,10.698
64,K00081.01,,FALSE POSITIVE,23.876092290000,0.105500,9.24870,1562.7000,1480.0,9974.00,4.048,2.5330,11.409,11.164
65,K00082.01,Kepler-102 e,CONFIRMED,16.145690772000,0.684200,3.72460,989.2000,549.0,4812.00,4.548,0.7550,11.492,9.984
66,K00082.02,Kepler-102 d,CONFIRMED,10.311737520000,0.767200,3.20500,282.3000,638.0,4812.00,4.548,0.7550,11.492,9.984
67,K00082.03,Kepler-102 f,CONFIRMED,27.453729400000,0.105300,3.53530,116.3000,460.0,4812.00,4.548,0.7550,11.492,9.984
68,K00082.04,Kepler-102 c,CONFIRMED,7.071360760000,0.083900,2.75060,62.9000,723.0,4812.00,4.548,0.7550,11.492,9.984
69,K00082.05,Kepler-102 b,CONFIRMED,5.286954370000,0.405200,2.59100,43.0000,797.0,4812.00,4.548,0.7550,11.492,9.984
70,K00084.01,Kepler-19 b,CONFIRMED,9.286968825000,0.055400,3.37100,700.6000,764.0,5543.00,4.568,0.8130,11.898,10.719
71,K00085.01,Kepler-65 c,CONFIRMED,5.859938722000,0.026500,4.00040,320.4000,1236.0,6169.00,4.236,1.4240,11.018,10.066
72,K00085.02,Kepler-65 b,CONFIRMED,2.154909039000,0.645200,3.17740,100.4000,1726.0,6169.00,4.236,1.4240,11.018,10.066
73,K00085.03,Kepler-65 d,CONFIRMED,8.131224840000,0.874200,4.34570,113.9000,1109.0,6169.00,4.236,1.4240,11.018,10.066
74,K00087.01,Kepler-22 b,CONFIRMED,289.864456000000,0.017500,6.97700,501.9000,267.0,5642.00,4.443,0.9790,11.664,10.523
75,K00088.01,,FALSE POSITIVE,5.179682557000,0.984500,3.34480,349.6000,1043.0,5766.00,4.423,0.9230,11.871,10.732
76,K00089.01,,CANDIDATE,84.687980800000,0.063700,10.02150,350.5000,804.0,7717.00,3.888,2.6410,11.642,10.983
77,K00089.02,,CANDIDATE,207.582723400000,0.213300,6.73300,498.1000,597.0,7717.00,3.888,2.6410,11.642,10.983
78,K00090.01,,FALSE POSITIVE,0.828206494000,0.975600,2.55580,316.5000,2476.0,5826.00,4.031,1.6240,11.743,10.608
79,K00092.01,,CANDIDATE,65.704600020000,0.560800,3.26450,656.7000,454.0,5952.00,4.489,0.9710,11.667,10.627
80,K00094.01,Kepler-89 d,CONFIRMED,22.342969585000,0.005600,6.68603,5675.2000,767.0,6098.00,4.247,1.2970,12.205,11.218
81,K00094.02,Kepler-89 c,CONFIRMED,10.423677765000,0.127000,5.22910,795.1000,989.0,6098.00,4.247,1.2970,12.205,11.218
82,K00094.03,Kepler-89 e,CONFIRMED,54.319986050000,0.035200,8.46520,1996.2000,570.0,6098.00,4.247,1.2970,12.205,11.218
83,K00094.04,Kepler-89 b,CONFIRMED,3.743175556000,0.651600,3.73010,128.6000,1391.0,6098.00,4.247,1.2970,12.205,11.218
84,K00097.01,Kepler-7 b,CONFIRMED,4.885488953000,0.203200,5.13130,7569.3000,1499.0,6027.00,3.971,1.9620,12.885,11.833
85,K00098.01,Kepler-14 b,CONFIRMED,6.790121599000,0.020500,6.13910,2252.3000,1445.0,6378.00,3.952,2.0750,12.128,11.202
86,K00099.01,,CANDIDATE,2190.701035300000,0.259700,19.89100,1874.2000,109.0,4965.00,4.555,0.7360,12.960,11.503
87,K00099.02,,FALSE POSITIVE,79.878049450000,,3.19000,,,,,,12.960,11.503
88,K00100.01,,CANDIDATE,9.966401450000,0.967500,4.98270,1642.5000,1578.0,6638.00,3.664,3.0790,12.598,11.613
89,K00102.01,,CANDIDATE,1.735136026000,0.053700,2.27889,950.7000,1664.0,5731.00,4.265,1.2310,12.566,11.398
90,K00102.02,,FALSE POSITIVE,4.068442010000,0.109600,2.79430,81.2000,1252.0,5731.00,4.265,1.2310,12.566,11.398
91,K00103.01,,CANDIDATE,14.910942050000,0.087300,3.33530,895.9000,676.0,5653.00,4.551,0.8570,12.593,11.420
92,K00104.01,Kepler-94 b,CONFIRMED,2.508057352000,0.580200,1.07240,1548.2000,828.0,4238.00,4.673,0.6100,12.895,11.181
93,K00105.01,,CANDIDATE,8.981016833000,0.510000,1.87370,1089.4000,1060.0,5613.00,4.031,1.4620,12.870,11.650
94,K00106.01,,FALSE POSITIVE,1.612249044000,1.271900,4.24800,462.9000,2567.0,6737.00,3.896,2.3200,12.775,11.776
95,K00107.01,,CANDIDATE,7.256965224000,0.002200,4.86390,461.7000,1167.0,5862.00,4.113,1.5860,12.702,11.652
96,K00108.01,Kepler-103 b,CONFIRMED,15.965336870000,0.036800,4.52700,486.1000,864.0,5845.00,4.163,1.4360,12.287,11.193
97,K00108.02,Kepler-103 c,CONFIRMED,179.607660200000,0.666100,13.49100,1278.8000,385.0,5845.00,4.163,1.4360,12.287,11.193
98,K00109.01,,FALSE POSITIVE,6.414965741000,1.391000,4.00260,519.8000,1229.0,6170.00,4.150,1.3520,12.385,11.335
99,K00110.01,,CANDIDATE,9.940672466000,0.048700,3.90060,523.8000,1032.0,6522.00,4.325,1.2150,12.663,11.735
100,K00111.01,Kepler-104 b,CONFIRMED,11.427545631000,0.123800,4.55980,508.6000,972.0,5755.00,4.081,1.3610,12.596,11.558
101,K00111.02,Kepler-104 c,CONFIRMED,23.668364270000,0.630900,5.78180,458.3000,763.0,5755.00,4.081,1.3610,12.596,11.558
102,K00111.03,Kepler-104 d,CONFIRMED,51.755295760000,0.458200,7.35010,601.1000,588.0,5755.00,4.081,1.3610,12.596,11.558
103,K00111.04,,FALSE POSITIVE,103.626509220000,,6.89000,,,,,,12.596,11.558
104,K00112.01,,CANDIDATE,51.079263070000,0.030700,6.37290,737.0000,516.0,5803.00,4.351,1.0730,12.772,11.698
105,K00112.02,,CANDIDATE,3.709213846000,0.205000,2.55750,133.3000,1236.0,5803.00,4.351,1.0730,12.772,11.698
106,K00113.01,,FALSE POSITIVE,386.603052800000,0.976500,6.80570,24926.6000,297.0,5543.00,4.081,1.5800,12.394,11.151
107,K00114.01,,FALSE POSITIVE,7.361780440000,1.146400,5.03780,323.3000,1342.0,6227.00,3.986,1.9580,12.660,11.659
108,K00115.01,Kepler-105 b,CONFIRMED,5.412207130000,0.097500,2.81050,598.1000,1306.0,6391.00,4.226,1.3320,12.791,11.811
109,K00115.02,Kepler-105 c,CONFIRMED,7.125945910000,0.198900,2.80700,194.4000,1191.0,6391.00,4.226,1.3320,12.791,11.811
110,K00115.03,,CANDIDATE,3.435878900000,0.147100,3.02500,23.2000,1519.0,6391.00,4.226,1.3320,12.791,11.811
111,K00116.01,Kepler-106 c,CONFIRMED,13.570766220000,0.114500,3.19890,523.1000,796.0,5881.00,4.388,1.0290,12.882,11.752
112,K00116.02,Kepler-106 e,CONFIRMED,43.844443530000,0.496900,6.41750,600.3000,538.0,5881.00,4.388,1.0290,12.882,11.752
113,K00116.03,Kepler-106 b,CONFIRMED,6.164916960000,0.541600,3.22700,63.7000,1035.0,5881.00,4.388,1.0290,12.882,11.752
114,K00116.04,Kepler-106 d,CONFIRMED,23.980234800000,0.250600,4.61100,92.7000,658.0,5881.00,4.388,1.0290,12.882,11.752
115,K00117.01,Kepler-107 e,CONFIRMED,14.749135180000,0.680800,6.18870,420.5000,875.0,5851.00,4.192,1.4110,12.487,11.392
116,K00117.02,Kepler-107 c,CONFIRMED,4.901438070000,0.791600,4.24620,139.6000,1263.0,5851.00,4.192,1.4110,12.487,11.392
117,K00117.03,Kepler-107 b,CONFIRMED,3.180024635000,0.265100,3.56690,121.9000,1460.0,5851.00,4.192,1.4110,12.487,11.392
118,K00117.04,Kepler-107 d,CONFIRMED,7.958302160000,0.155300,4.38400,58.3000,1075.0,5851.00,4.192,1.4110,12.487,11.392
119,K00118.01,,CANDIDATE,24.993241930000,0.488500,5.90830,272.4000,719.0,5747.00,4.182,1.3570,12.377,11.274
120,K00119.01,Kepler-108 b,CONFIRMED,49.183949220000,0.411800,11.37710,1645.7000,706.0,5854.00,3.900,2.1920,12.654,11.430
121,K00119.02,Kepler-108 c,CONFIRMED,190.321656400000,0.804600,15.23400,1117.5000,449.0,5854.00,3.900,2.1920,12.654,11.430
122,K00120.01,,CANDIDATE,20.545527990000,1.206300,2.02420,538.9000,732.0,5667.00,4.227,1.2310,12.003,11.114
123,K00121.01,,FALSE POSITIVE,8.811091770000,1.715500,5.10100,422.7000,1399.0,6200.00,3.800,2.4040,12.759,11.723
124,K00122.01,Kepler-95 b,CONFIRMED,11.523069953000,0.057600,3.88530,504.8000,934.0,5699.00,4.171,1.4150,12.346,11.210
125,K00123.01,Kepler-109 b,CONFIRMED,6.481628092000,0.145900,3.64900,301.5000,1150.0,5952.00,4.212,1.3230,12.365,11.314
126,K00123.02,Kepler-109 c,CONFIRMED,21.222585250000,0.026600,6.49130,359.9000,774.0,5952.00,4.212,1.3230,12.365,11.314
127,K00124.01,Kepler-110 b,CONFIRMED,12.691052090000,0.021100,3.79400,259.7000,1067.0,5887.00,3.938,1.8430,12.935,11.919
128,K00124.02,Kepler-110 c,CONFIRMED,31.719824980000,0.097100,4.81940,370.6000,786.0,5887.00,3.938,1.8430,12.935,11.919
129,K00125.01,,CANDIDATE,38.478757067000,0.015400,5.05845,24179.9000,484.0,5510.00,4.539,0.8790,13.779,12.467
130,K00126.01,,CANDIDATE,33.803676280000,0.672900,12.64750,12208.9000,745.0,5855.00,3.999,1.7960,13.109,11.977
131,K00126.02,,CANDIDATE,0.875194285000,0.896000,1.22500,32.1200,2518.0,5855.00,3.999,1.7960,13.109,11.977
132,K00127.01,Kepler-77 b,CONFIRMED,3.578780551000,0.004300,2.90682,11741.5000,1144.0,5705.00,4.497,0.9760,13.938,12.758
133,K00128.01,Kepler-15 b,CONFIRMED,4.942783399000,0.558600,3.25457,11498.1000,1008.0,5514.00,4.459,0.9780,13.758,12.578
134,K00129.01,,CANDIDATE,24.669195690000,0.146400,6.91850,7441.4000,832.0,6748.00,4.249,1.4090,13.224,12.269
135,K00129.02,,FALSE POSITIVE,143.211093620000,,2.71000,,,,,,13.224,12.269
136,K00130.01,,CANDIDATE,34.193598286000,0.708000,5.00735,13550.2000,778.0,6129.00,3.991,1.7860,13.325,12.183
137,K00131.01,,CANDIDATE,5.014234575000,0.012400,4.61153,6788.6000,1284.0,6475.00,4.349,1.2710,13.797,12.804
138,K00132.01,,FALSE POSITIVE,10.810131693000,0.949100,4.47240,6306.0000,985.0,6211.00,4.269,1.2840,13.794,12.720
139,K00133.01,,FALSE POSITIVE,4.618767176000,0.752100,5.90490,5044.6000,1170.0,6013.00,4.381,1.0330,13.652,12.492
140,K00134.01,,FALSE POSITIVE,67.595222900000,0.092700,11.57530,5275.9000,588.0,6038.00,4.082,1.7440,13.675,12.628
141,K00135.01,Kepler-43 b,CONFIRMED,3.024092548000,0.320600,2.73608,8004.8000,1475.0,6022.00,4.263,1.3450,13.958,12.858
142,K00136.01,,CANDIDATE,15.663884670000,0.955900,2.43910,5265.8000,1060.0,5996.00,3.901,2.2210,13.439,12.410
143,K00137.01,Kepler-18 c,CONFIRMED,7.641571533000,0.008300,3.41326,2331.4000,899.0,5356.00,4.338,1.0550,13.549,12.189
144,K00137.02,Kepler-18 d,CONFIRMED,14.858912687000,0.024700,3.49204,3343.9000,720.0,5356.00,4.338,1.0550,13.549,12.189
145,K00137.03,Kepler-18 b,CONFIRMED,3.504687554000,0.791200,1.96000,323.3000,1165.0,5356.00,4.338,1.0550,13.549,12.189
146,K00138.01,,CANDIDATE,48.937876150000,0.989000,6.55630,7463.1000,771.0,7061.00,4.078,1.8070,13.960,12.974
147,K00139.01,Kepler-111 c,CONFIRMED,224.778209300000,0.786700,11.63460,3542.5000,323.0,5906.00,4.361,1.1450,13.492,12.412
148,K00139.02,Kepler-111 b,CONFIRMED,3.341802938000,0.913700,3.02410,159.8000,1311.0,5906.00,4.361,1.1450,13.492,12.412
149,K00140.01,,FALSE POSITIVE,19.978714770000,0.932100,10.28500,1355.1000,1406.0,9589.00,4.152,2.0950,13.849,13.321
150,K00141.01,,CANDIDATE,2.624234598000,0.805700,1.40120,2684.2000,1153.0,5377.00,4.547,0.8790,13.687,12.489
151,K00142.01,Kepler-88 b,CONFIRMED,10.916108342000,0.769900,3.64960,1479.0000,758.0,5575.00,4.521,0.9320,13.113,11.882
152,K00142.02,,FALSE POSITIVE,339.429340840000,,7.50000,,,,,,13.113,11.882
153,K00143.01,,FALSE POSITIVE,22.651187900000,0.924700,3.64650,2277.2000,919.0,6977.00,4.195,1.5590,13.682,12.792
154,K00144.01,,CANDIDATE,4.176255514000,0.739400,3.70120,1428.4000,878.0,4911.00,4.570,0.7860,13.698,12.063
155,K00145.01,,CANDIDATE,102.963938600000,0.924100,16.13800,1969.0000,797.0,5047.00,3.066,7.1190,13.608,12.008
156,K00146.01,,FALSE POSITIVE,8.667829234000,1.378000,5.12470,2652.5000,1303.0,6266.00,3.923,1.8890,13.030,11.891
157,K00147.01,,FALSE POSITIVE,145.562713400000,1.503400,5.81800,3548.4000,387.0,6148.00,4.346,1.0950,13.884,12.839
158,K00148.01,Kepler-48 b,CONFIRMED,4.778004028000,0.451200,2.74950,488.0000,922.0,5296.00,4.558,0.8520,13.040,11.702
159,K00148.02,Kepler-48 c,CONFIRMED,9.673953474000,0.026700,3.28700,986.0000,729.0,5296.00,4.558,0.8520,13.040,11.702
160,K00148.03,Kepler-48 d,CONFIRMED,42.896055050000,0.028000,5.62500,591.2000,443.0,5296.00,4.558,0.8520,13.040,11.702
161,K00149.01,,CANDIDATE,14.557317050000,0.003800,7.77240,982.6000,932.0,5683.00,4.026,1.6240,13.397,12.121
162,K00150.01,Kepler-112 b,CONFIRMED,8.408876951000,0.133500,3.49280,804.8000,914.0,5763.00,4.361,0.9570,13.771,12.583
163,K00150.02,Kepler-112 c,CONFIRMED,28.574264900000,0.258900,4.97290,847.5000,608.0,5763.00,4.361,0.9570,13.771,12.583
164,K00151.01,,CANDIDATE,13.447189600000,0.956100,3.01900,1452.6000,848.0,6276.00,4.405,1.0410,14.000,12.891
165,K00152.01,Kepler-79 d,CONFIRMED,52.090816020000,0.021000,8.63290,2974.2000,542.0,6388.00,4.442,1.0370,13.914,12.913
166,K00152.02,Kepler-79 c,CONFIRMED,27.402320890000,0.104300,6.82910,801.4000,671.0,6388.00,4.442,1.0370,13.914,12.913
167,K00152.03,Kepler-79 b,CONFIRMED,13.484586650000,0.086200,5.05750,683.8000,850.0,6388.00,4.442,1.0370,13.914,12.913
168,K00152.04,Kepler-79 e,CONFIRMED,81.063494200000,0.232000,3.18100,450.1000,467.0,6388.00,4.442,1.0370,13.914,12.913
169,K00153.01,Kepler-113 c,CONFIRMED,8.925076369000,0.805300,2.71230,999.4000,624.0,4591.00,4.579,0.7090,13.461,11.886
170,K00153.02,Kepler-113 b,CONFIRMED,4.754001150000,0.218400,2.50370,774.1000,770.0,4591.00,4.579,0.7090,13.461,11.886
171,K00154.01,,FALSE POSITIVE,30.009089160000,,3.15000,,,,,,13.174,12.199
172,K00155.01,,CANDIDATE,5.660672935000,0.570800,4.67220,749.0000,1190.0,5716.00,4.141,1.3440,13.494,12.306
173,K00156.01,Kepler-114 c,CONFIRMED,8.041331208000,0.089800,2.63190,590.4000,507.0,3983.00,4.721,0.5400,13.738,12.035
174,K00156.02,Kepler-114 b,CONFIRMED,5.188561757000,0.117400,2.36550,353.6000,587.0,3983.00,4.721,0.5400,13.738,12.035
175,K00156.03,Kepler-114 d,CONFIRMED,11.776138457000,0.429500,2.90210,1429.1000,447.0,3983.00,4.721,0.5400,13.738,12.035
176,K00157.01,Kepler-11 c,CONFIRMED,13.024928190000,0.041600,4.56000,809.2000,786.0,5657.00,4.364,1.0460,13.709,12.548
177,K00157.02,Kepler-11 d,CONFIRMED,22.687141050000,0.015300,5.48350,995.5000,653.0,5657.00,4.364,1.0460,13.709,12.548
178,K00157.03,Kepler-11 e,CONFIRMED,31.995506240000,0.111700,4.13630,1410.7000,582.0,5657.00,4.364,1.0460,13.709,12.548
179,K00157.04,Kepler-11 f,CONFIRMED,46.685802400000,0.698900,6.43140,605.1000,513.0,5657.00,4.364,1.0460,13.709,12.548
180,K00157.05,Kepler-11 g,CONFIRMED,118.378379000000,0.108600,9.55520,1116.8000,376.0,5657.00,4.364,1.0460,13.709,12.548
181,K00157.06,Kepler-11 b,CONFIRMED,10.304004970000,0.011800,4.21390,320.2000,849.0,5657.00,4.364,1.0460,13.709,12.548
182,K00158.01,,FALSE POSITIVE,5.801828694000,0.932900,3.97700,697.4000,1491.0,6020.00,3.860,2.0970,13.752,12.459
183,K00159.01,Kepler-115 c,CONFIRMED,8.990888710000,0.137600,4.10290,462.8000,939.0,5977.00,4.375,1.0750,13.431,12.315
184,K00159.02,Kepler-115 b,CONFIRMED,2.403643296000,0.411800,1.32050,81.6000,1459.0,5977.00,4.375,1.0750,13.431,12.315
185,K00160.01,,CANDIDATE,13.738091560000,0.955500,3.33730,699.6000,912.0,6375.00,4.292,1.1780,13.805,12.719
186,K00161.01,,CANDIDATE,3.105508189000,0.644200,1.72100,910.9000,1016.0,4938.00,4.492,0.8420,13.341,11.821
