# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 18 14:15:05 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
#
rowid,pl_hostname,pl_letter,pl_orbper,st_teff,st_rad,pl_eqt,pl_trandep,pl_trandur,pl_imppar,st_logg
27,55 Cnc,e,0.73655150,5196.00,0.94,,,,,4.45
28,55 Cnc,f,262.00000000,5196.00,0.94,,,,,4.45
29,6 Lyn,b,874.77400000,4978.00,5.20,,,,,3.16
30,61 Vir,b,4.21500000,5577.00,0.96,,,,,4.34
31,61 Vir,c,38.02100000,5577.00,0.96,,,,,4.34
32,61 Vir,d,123.01000000,5577.00,0.96,,,,,4.34
33,7 CMa,b,763.00000000,4792.00,2.30,,,,,3.25
34,70 Vir,b,116.69260000,5439.00,1.94,,,,,3.90
35,75 Cet,b,691.90000000,4846.00,10.50,,,,,2.63
36,81 Cet,b,952.70000000,4785.00,11.00,,,,,2.35
37,91 Aqr,b,181.40000000,4665.00,11.00,,,,,2.52
38,AB Pic,b,,,,,,,,
39,BD+14 4559,b,268.94000000,5008.00,0.95,,,,,4.60
40,BD+15 2940,b,137.48000000,4796.00,14.70,,,,,2.80
41,BD+20 1790,b,7.78287000,4410.00,0.71,,,,,4.53
42,BD+20 2457,b,379.63000000,4137.00,49.00,,,,,1.51
43,BD+20 2457,c,621.99000000,4137.00,49.00,,,,,1.51
44,BD+20 274,b,578.20000000,4296.00,17.30,,,,,1.99
45,BD+48 738,b,392.60000000,4414.00,11.00,,,,,2.24
46,BD+49 828,b,2590.00000000,4943.00,7.60,,,,,2.85
47,BD-06 1339,b,3.87280000,4324.00,,,,,,4.74
48,BD-06 1339,c,125.94000000,4324.00,,,,,,4.74
49,BD-08 2823,b,5.60000000,4746.00,,,,,,4.13
50,BD-08 2823,c,237.60000000,4746.00,,,,,,4.13
51,BD-10 3166,b,3.48777000,5393.00,,,,,,4.68
52,BD-11 4672,b,1667.00000000,4475.00,0.52,,,,,4.10
53,BD-13 2130,b,714.30000000,,,,,,,
54,BD-17 63,b,655.60000000,4714.00,0.69,,,,,4.26
55,CFBDSIR J145829+101343,b,10037.50000000,580.50,,370,,,,4.72
56,CHXR 73,b,,,,,,,,
57,CT Cha,b,,,,2600,,,,
58,CoRoT-1,b,1.50895570,5950.00,1.11,1898,1.926540,,,4.25
59,CoRoT-10,b,13.24060000,5075.00,0.79,600,1.610360,0.1242000,0.8500,4.65
60,CoRoT-11,b,2.99433000,6440.00,1.37,1657,1.144900,0.1042000,0.8180,4.22
61,CoRoT-12,b,2.82804200,5675.00,1.12,1442,1.744000,0.1072600,0.5730,4.38
62,CoRoT-13,b,4.03519000,5945.00,1.01,1700,,0.1308000,0.3740,4.46
63,CoRoT-14,b,1.51214000,6035.00,1.21,1952,,0.0693000,0.8600,4.35
64,CoRoT-16,b,5.35227000,5650.00,1.19,,1.020000,0.0996000,0.8250,4.36
65,CoRoT-17,b,3.76810000,5740.00,1.59,1626,0.440000,0.1966670,0.1800,4.40
66,CoRoT-18,b,1.90006930,5440.00,1.00,1550,,0.0995000,0.4000,4.40
67,CoRoT-19,b,3.89713000,6090.00,1.65,2000,,0.1958000,0.2400,4.07
68,CoRoT-2,b,1.74299350,5625.00,0.91,,2.750000,0.0944600,0.2210,
69,CoRoT-20,b,9.24285000,5880.00,1.02,1002,,0.0927000,0.2600,4.20
70,CoRoT-22,b,9.75598000,5939.00,1.14,885,,0.1872000,0.0120,4.36
71,CoRoT-23,b,3.63130000,5900.00,1.61,1660,,0.1620000,0.5600,4.30
72,CoRoT-24,b,5.11340000,4950.00,0.86,1070,,0.1188000,0.6500,4.55
73,CoRoT-24,c,11.75900000,4950.00,0.86,850,,0.2000000,0.3000,4.55
74,CoRoT-25,b,4.86069000,6040.00,1.19,1330,,0.0800000,0.9400,4.31
75,CoRoT-26,b,4.20474000,5590.00,1.79,1600,,0.2279000,0.3300,3.99
76,CoRoT-27,b,3.57532000,5900.00,1.08,1500,,0.1154000,0.5400,4.40
77,CoRoT-28,b,5.20851000,5150.00,1.78,,,0.2375000,0.2400,3.60
78,CoRoT-29,b,2.85057000,5260.00,0.90,,,0.0912500,0.4300,4.30
79,CoRoT-3,b,4.25680000,6740.00,1.56,,,,0.5500,4.22
80,CoRoT-4,b,9.20205000,6190.00,1.17,1074,,,,4.41
81,CoRoT-5,b,4.03789620,6100.00,1.19,1438,1.461000,,0.7550,4.19
82,CoRoT-6,b,8.88659300,6090.00,1.02,1017,,0.1700000,0.2910,4.43
83,CoRoT-7,b,0.85359159,5259.00,0.82,1756,,0.0441000,0.7130,4.57
84,CoRoT-7,c,3.69800000,5259.00,0.82,,,,,4.57
85,CoRoT-8,b,6.21229000,5080.00,0.77,,0.651000,0.1142000,0.4900,4.58
86,CoRoT-9,b,95.27380000,5625.00,0.94,,1.550000,0.3367000,0.0100,4.54
87,DENIS-P J082303.1-491201,b,246.36000000,,,,,,,
88,DH Tau,b,,,0.27,,,,,
89,DP Leo,b,10220.00000000,,,,,,,
90,FU Tau,b,,,,2375,,,,
91,Fomalhaut,b,318280.00000000,,,,,,,
92,GJ 1214,b,1.58040482,3170.00,0.18,,,0.0366000,,5.12
93,GJ 15 A,b,11.44330000,3567.00,0.39,,,,,4.90
94,GJ 163,b,8.63100000,3500.00,,,,,,
95,GJ 163,c,25.60000000,3500.00,,,,,,
96,GJ 163,d,603.00000000,3500.00,,,,,,
97,GJ 179,b,2288.00000000,3370.00,0.38,,,,,4.83
98,GJ 3021,b,133.71000000,5540.00,0.90,350,,,,4.70
99,GJ 317,b,692.00000000,3510.00,,,,,,
100,GJ 328,b,4100.00000000,3900.00,,,,,,
101,GJ 3293,b,30.60000000,3466.00,0.40,,,,,
102,GJ 3293,c,123.75000000,3466.00,0.40,,,,,
103,GJ 3341,b,14.20700000,3526.00,0.44,,,,,
104,GJ 3470,b,3.33664870,3652.00,0.48,604,,,0.2900,4.78
105,GJ 3634,b,2.64561000,,0.43,,,,,
106,GJ 433,b,7.37090000,3600.00,,,,,,
107,GJ 436,b,2.64388312,,0.46,,,,0.7360,4.79
108,GJ 504,b,,6234.00,,510,,,,4.60
109,GJ 581,b,5.36860000,,0.29,,,,,
110,GJ 581,c,12.91400000,,0.29,,,,,
111,GJ 581,e,3.14900000,,0.29,,,,,
112,GJ 649,b,598.30000000,3700.00,,,,,,
113,GJ 667 C,b,7.20040000,3350.00,,,,,,4.69
114,GJ 667 C,c,28.14000000,3350.00,,,,,,4.69
115,GJ 667 C,e,62.24000000,3350.00,,,,,,4.69
116,GJ 667 C,f,39.02600000,3350.00,,,,,,4.69
117,GJ 667 C,g,256.20000000,3350.00,,,,,,4.69
118,GJ 674,b,4.69380000,3600.00,,,,,,
119,GJ 676 A,b,1050.30000000,,,,,,,
120,GJ 676 A,d,3.60000000,,,,,,,
121,GJ 676 A,e,35.37000000,,,,,,,
122,GJ 687,b,38.14000000,3413.00,0.42,,,,,
123,GJ 832,b,3657.00000000,3472.00,,,,,,4.70
124,GJ 832,c,35.68000000,3472.00,,,,,,4.70
125,GJ 849,b,1845.00000000,,,,,,,
126,GJ 86,b,15.76491000,5151.00,,,,,,4.59
127,GJ 876,b,61.11660000,,,,,,,
128,GJ 876,c,30.08810000,,,,,,,
129,GJ 876,d,1.93778000,,,,,,,
130,GJ 876,e,124.26000000,,,,,,,
131,GQ Lup,b,,,,2650,,,,
132,GSC 06214-00210,b,,4200.00,,2300,,,,
133,GU Psc,b,,,,1050,,,,
134,HAT-P-1,b,4.46529340,5975.00,1.15,,,0.1166000,0.6930,4.45
135,HAT-P-11,b,4.88781620,4780.00,0.75,878,,0.0957000,0.3470,4.59
136,HAT-P-12,b,3.21305980,4650.00,0.70,963,1.977000,0.0974000,0.2110,4.61
137,HAT-P-13,b,2.91625000,5653.00,1.56,,,,0.6790,4.13
138,HAT-P-13,c,446.27000000,5653.00,1.56,,,,,4.13
139,HAT-P-14,b,4.62766900,6600.00,1.47,1570,0.648000,0.0912000,0.8910,4.25
140,HAT-P-15,b,10.86350200,5568.00,1.08,904,,0.2285000,0.3420,4.38
141,HAT-P-16,b,2.77596000,6158.00,1.24,1626,1.147000,0.1276000,0.4390,4.34
142,HAT-P-17,b,10.33852300,5246.00,0.84,792,,0.1690000,0.3110,4.52
143,HAT-P-17,c,5584.00000000,5246.00,0.84,,,,,4.52
144,HAT-P-18,b,5.50802300,4803.00,0.75,852,,0.1131000,0.3240,4.57
145,HAT-P-19,b,4.00877800,4990.00,0.82,1010,,0.1182000,0.4040,4.54
146,HAT-P-2,b,5.63347290,6290.00,1.64,1540,,0.1787000,0.3950,4.16
147,HAT-P-20,b,2.87531700,4595.00,0.69,970,0.989800,0.0770000,0.6310,4.63
148,HAT-P-21,b,4.12448100,5588.00,1.10,1283,0.734100,0.1530000,0.5460,4.33
149,HAT-P-22,b,3.21222000,5302.00,1.04,1283,0.889400,0.1196000,0.4660,4.36
150,HAT-P-23,b,1.21288287,5885.00,1.09,1951,,,,4.41
151,HAT-P-24,b,3.35524000,6373.00,1.32,1637,0.941000,0.1539000,0.1890,4.27
152,HAT-P-25,b,3.65283600,5500.00,0.96,1202,1.381100,0.1174000,0.4560,4.48
153,HAT-P-26,b,4.23451600,5079.00,0.79,1001,0.543000,0.1023000,0.3030,4.56
154,HAT-P-27,b,3.03957700,5300.00,0.90,,0.014300,0.0700000,0.8700,4.51
155,HAT-P-28,b,3.25721500,5680.00,1.10,1384,1.471900,0.1341000,0.2990,4.36
156,HAT-P-29,b,5.72318600,6087.00,1.22,1260,0.834600,0.1407000,0.5910,4.34
157,HAT-P-3,b,2.89973600,5185.00,0.80,,,0.0865000,0.5300,4.59
158,HAT-P-30,b,2.81059500,6304.00,1.22,1630,0.807200,0.0887000,0.8540,4.36
159,HAT-P-31,b,5.00542500,6065.00,1.36,1450,0.650000,0.2141000,0.5700,
160,HAT-P-32,b,2.15000805,6269.00,1.22,,,,,
161,HAT-P-33,b,3.47447400,6446.00,1.64,1782,0.779800,0.1839000,0.3250,
162,HAT-P-34,b,5.45265400,6442.00,1.53,1520,,0.1455000,0.3360,
163,HAT-P-35,b,3.64670600,6096.00,1.44,1581,0.910000,0.1640000,0.3570,
164,HAT-P-36,b,1.32734700,5560.00,1.10,1823,,0.0923000,0.3120,
165,HAT-P-37,b,2.79743600,5500.00,0.88,1271,1.899000,0.0971000,0.5050,
166,HAT-P-38,b,4.64038200,5330.00,0.92,1082,,0.1267000,0.3720,
167,HAT-P-39,b,3.54387000,6430.00,1.62,1752,0.999000,0.1745000,0.3490,
168,HAT-P-4,b,3.05653600,5860.00,1.60,1686,0.779800,,0.0100,
169,HAT-P-40,b,4.45724300,6080.00,2.21,1770,0.404000,0.2557000,0.1740,
170,HAT-P-41,b,2.69404700,6390.00,1.68,1941,0.771000,0.1704000,0.2220,
171,HAT-P-42,b,4.64187800,5743.00,1.53,1428,,0.1681000,0.5770,4.14
172,HAT-P-43,b,3.33268700,5645.00,1.10,1361,,0.1354000,0.1900,4.37
173,HAT-P-44,b,4.30121900,5295.00,0.95,1108,,0.1302000,0.1720,4.46
174,HAT-P-44,c,872.20000000,5295.00,0.95,,,0.5030000,,4.46
175,HAT-P-45,b,3.12899200,6330.00,1.32,1652,,0.1436000,0.2810,4.30
176,HAT-P-46,b,4.46312900,6120.00,1.40,1458,,0.1291000,0.6260,4.25
177,HAT-P-49,b,2.69154800,6820.00,1.83,2131,,0.1712000,0.3400,4.10
178,HAT-P-5,b,2.78849100,5960.00,1.14,,1.244800,0.1217000,0.4250,
179,HAT-P-54,b,3.79984700,4390.00,0.62,818,,,0.7410,4.67
180,HAT-P-55,b,3.58524670,5808.00,1.01,1313,,0.1223000,0.3920,4.43
181,HAT-P-56,b,2.79083270,6566.00,1.43,1840,,0.0946300,0.8725,4.24
182,HAT-P-6,b,3.85298500,6570.00,1.46,,0.825500,0.1461000,0.6020,4.22
183,HAT-P-7,b,2.20473700,6350.00,1.84,2733,,0.1685000,0.3700,3.79
184,HAT-P-8,b,3.07637760,6200.00,1.58,1700,0.642700,0.1587000,0.3200,
185,HAT-P-9,b,3.92289000,6350.00,1.32,1530,1.170000,0.1430000,0.5200,
186,HATS-1,b,3.44645900,5870.00,1.04,1359,,0.1007000,0.6330,
187,HATS-10,b,3.31284600,5880.00,1.10,1407,,0.1253000,0.3400,4.39
188,HATS-13,b,3.04404990,5523.00,0.89,1244,,0.1097800,0.2490,4.52
189,HATS-14,b,2.76676410,5346.00,0.93,1276,,0.1100900,0.1800,4.48
190,HATS-2,b,1.35413300,5227.00,0.90,1577,,0.0862000,0.2710,4.48
191,HATS-3,b,3.54785100,6351.00,1.40,1648,,0.1494000,0.4970,4.22
192,HATS-4,b,2.51672900,5403.00,0.93,1315,,0.1053000,0.2170,4.51
193,HATS-5,b,4.76338700,5304.00,0.87,1025,,0.1244000,0.1580,4.53
194,HATS-6,b,3.32527250,3724.00,0.57,713,3.230000,0.0850400,0.4270,4.68
195,HATS-8,b,3.58389300,5679.00,1.09,1324,,0.1263000,0.3600,4.39
196,HATS-9,b,1.91530730,5366.00,1.50,1823,,0.1457000,0.2700,4.09
197,HD 100546,b,,10500.00,,,,,,
198,HD 100655,b,157.57000000,,,,,,,
199,HD 100777,b,383.70000000,5582.00,,,,,,4.39
200,HD 10180,c,5.75969000,5911.00,1.11,,,,,4.39
201,HD 10180,d,16.35700000,5911.00,1.11,,,,,4.39
202,HD 10180,e,49.74800000,5911.00,1.11,,,,,4.39
203,HD 10180,f,122.74400000,5911.00,1.11,,,,,4.39
204,HD 10180,g,604.67000000,5911.00,1.11,,,,,4.39
205,HD 10180,h,2205.00000000,5911.00,1.11,,,,,4.39
206,HD 101930,b,70.46000000,,,,,,,
207,HD 102117,b,20.81330000,,,,,,,
208,HD 102195,b,4.11377500,,,,,,,
209,HD 102272,b,127.58000000,,,,,,,
210,HD 102329,b,778.10000000,,,,,,,
211,HD 102365,b,122.10000000,,,,,,,
212,HD 102956,b,6.49500000,5054.00,4.40,,,,,3.50
213,HD 103197,b,47.84000000,5303.00,,,,,,4.40
214,HD 103720,b,4.55570000,5017.00,0.73,,,,,4.43
215,HD 103774,b,5.88810000,6489.00,,,,,,4.26
216,HD 104067,b,55.80600000,,,,,,,
217,HD 10442,b,1043.00000000,5034.00,,,,,,3.50
218,HD 104985,b,199.50500000,,,,,,,
219,HD 106252,b,1531.00000000,,,,,,,
220,HD 106270,b,2890.00000000,,,,,,,
221,HD 10647,b,989.20000000,6218.00,1.10,,,,,4.62
222,HD 106515 A,b,3630.00000000,5362.00,1.62,,,,,4.41
223,HD 106906,b,,6516.00,,1800,,,,
224,HD 10697,b,1075.20000000,,,,,,,
225,HD 107148,b,48.05600000,,,,,,,
226,HD 108147,b,10.89850000,,,,,,,
227,HD 108341,b,1129.00000000,5122.00,0.79,,,,,4.45
228,HD 108863,b,443.40000000,,,,,,,
229,HD 108874,b,395.80000000,,,,,,,
230,HD 108874,c,1624.00000000,,,,,,,
231,HD 109246,b,68.27000000,,,,,,,
232,HD 109271,b,7.85430000,5783.00,,,,,,4.28
233,HD 109271,c,30.93000000,5783.00,,,,,,4.28
234,HD 109749,b,5.24000000,5903.00,1.24,,,,,4.40
235,HD 110014,b,835.47700000,,,,,,,
236,HD 111232,b,1143.00000000,5494.00,,,,,,4.50
237,HD 113337,b,324.00000000,6576.60,1.50,,,,,4.21
238,HD 113538,b,663.20000000,4462.00,0.53,,,,,3.79
239,HD 113538,c,1818.00000000,4462.00,0.53,,,,,3.79
240,HD 114386,b,937.70000000,4804.00,,,,,,4.36
241,HD 114613,b,3827.00000000,5729.00,,,,,,3.97
242,HD 114729,b,1114.00000000,,,,,,,
243,HD 114762,b,83.88800000,,,,,,,
244,HD 114783,b,493.70000000,,,,,,,
245,HD 11506,b,1627.50000000,6055.00,1.33,,,,,4.30
246,HD 11506,c,223.60000000,6055.00,1.33,,,,,4.30
247,HD 116029,b,670.00000000,,,,,,,
248,HD 117207,b,2597.00000000,,,,,,,
249,HD 117618,b,25.82700000,,,,,,,
250,HD 118203,b,6.13350000,,,,,,,
251,HD 11964,b,1945.00000000,,,,,,,
252,HD 11964,c,37.91000000,,,,,,,
253,HD 11977,b,711.00000000,,,,,,,
254,HD 120084,b,2082.00000000,4892.00,9.12,,,,,2.71
255,HD 121504,b,63.33000000,6075.00,,,,,,4.64
256,HD 125595,b,9.67370000,,,,,,,
257,HD 125612,b,559.40000000,5900.00,,,,,,4.41
258,HD 125612,c,4.15470000,5900.00,,,,,,4.41
259,HD 125612,d,3008.00000000,5900.00,,,,,,4.41
260,HD 12661,b,262.70900000,,,,,,,
261,HD 12661,c,1708.00000000,,,,,,,
262,HD 126614,b,1244.00000000,5585.00,1.09,,,,,4.39
263,HD 128311,b,453.01900000,,0.76,,,,,4.61
264,HD 128311,c,921.53800000,,0.76,,,,,4.61
265,HD 129445,b,1840.00000000,,,,,,,
266,HD 130322,b,10.70871000,5387.00,0.85,,,,,4.52
267,HD 131496,b,883.00000000,,,,,,,
268,HD 131664,b,1951.00000000,5886.00,1.16,,,,,4.44
269,HD 13189,b,471.60000000,,,,,,,
270,HD 132406,b,974.00000000,,,,,,,
271,HD 132563,b,1544.00000000,,,,,,,
272,HD 134987,b,258.19000000,,,,,,,
273,HD 134987,c,5000.00000000,,,,,,,
274,HD 136418,b,464.30000000,5071.00,3.40,,,,,3.60
275,HD 137388 A,b,330.00000000,5240.00,0.82,,,,,4.42
276,HD 13908,b,19.38200000,6255.00,1.67,,,,,4.11
277,HD 13908,c,931.00000000,6255.00,1.67,,,,,4.11
278,HD 13931,b,4218.00000000,5829.00,1.23,,,,,4.30
279,HD 139357,b,1125.70000000,4700.00,11.47,,,,,2.90
280,HD 14067,b,1455.00000000,4815.00,12.40,,,,,2.61
281,HD 141937,b,653.22000000,,,,,,,
282,HD 142,b,349.70000000,6245.00,1.47,,,,,4.62
283,HD 142,c,6005.00000000,6245.00,1.47,,,,,4.62
284,HD 142022 A,b,1928.00000000,,,,,,,
285,HD 142245,b,1299.00000000,,,,,,,
286,HD 142415,b,386.30000000,6045.00,,,,,,4.53
287,HD 143361,b,1057.00000000,,,,,,,
288,HD 145377,b,103.95000000,6046.00,1.14,,,,,4.49
289,HD 145457,b,176.30000000,4757.00,9.90,,,,,2.77
290,HD 145934,b,2730.00000000,,5.38,,,,,3.23
291,HD 1461,b,5.77270000,5765.00,1.11,,,,,
292,HD 147018,b,44.23600000,,,,,,,
293,HD 147018,c,1008.00000000,,,,,,,
294,HD 147513,b,528.40000000,5883.00,,,,,,4.51
295,HD 148156,b,1027.00000000,6308.00,1.21,,,,,4.56
296,HD 148427,b,331.50000000,,,,,,,
297,HD 149026,b,2.87589110,6160.00,1.54,,,0.1350000,0.5710,4.19
298,HD 149143,b,4.07200000,5884.00,1.49,,,,,4.07
299,HD 1502,b,431.80000000,,,,,,,
300,HD 150706,b,5894.00000000,5961.00,0.96,,,,,4.50
301,HD 152079,b,2097.00000000,,,,,,,
302,HD 152581,b,689.00000000,,,,,,,
303,HD 153950,b,499.40000000,6076.00,1.34,,,,,4.37
304,HD 154345,b,3342.00000000,,,,,,,
305,HD 154672,b,163.90000000,,,,,,,
306,HD 154857,b,408.60000000,5605.00,1.76,,,,,3.82
307,HD 154857,c,3452.00000000,5605.00,1.76,,,,,3.82
308,HD 155358,b,194.30000000,,,,,,,
309,HD 155358,c,391.90000000,,,,,,,
310,HD 156279,b,131.05000000,,,,,,,
311,HD 156411,b,842.20000000,5900.00,2.16,,,,,4.07
312,HD 156668,b,4.64550000,,,,,,,
313,HD 156846,b,359.55460000,,,,,,,
314,HD 158038,b,521.00000000,,,,,,,
315,HD 159243,b,12.62000000,6123.00,1.12,,,,,4.55
316,HD 159243,c,248.40000000,6123.00,1.12,,,,,4.55
317,HD 159868,b,1178.40000000,,,,,,,
318,HD 159868,c,352.30000000,,,,,,,
319,HD 1605,b,577.90000000,4757.00,3.80,,,,,3.40
320,HD 1605,c,2111.00000000,4757.00,3.80,,,,,3.40
321,HD 160691,b,643.25000000,5807.00,,,,,,4.37
322,HD 160691,c,4205.80000000,5807.00,,,,,,4.37
323,HD 160691,d,9.63860000,5807.00,,,,,,4.37
324,HD 160691,e,310.55000000,5807.00,,,,,,4.37
325,HD 16141,b,75.52300000,,,,,,,
326,HD 16175,b,990.00000000,6080.00,1.68,,,,,4.40
327,HD 162020,b,8.42819800,,,,,,,
328,HD 163607,b,75.29000000,5543.00,1.63,,,,,4.04
329,HD 163607,c,1314.00000000,5543.00,1.63,,,,,4.04
330,HD 16417,b,17.24000000,,,,,,,
331,HD 164509,b,282.40000000,5922.00,1.06,,,,,4.44
332,HD 164604,b,606.40000000,,,,,,,
333,HD 164922,b,1155.00000000,,,,,,,
334,HD 1666,b,270.00000000,6317.00,1.93,,,,,4.06
335,HD 166724,b,5144.00000000,5127.00,,,,,,4.43
336,HD 167042,b,420.77000000,4943.00,4.50,,,,,3.28
337,HD 168443,b,58.11247000,5491.00,1.51,,,,,4.07
338,HD 168443,c,1749.83000000,5491.00,1.51,,,,,4.07
339,HD 168746,b,6.40400000,5564.00,,,,,,4.52
340,HD 1690,b,533.00000000,,,,,,,
341,HD 169830,b,225.62000000,6299.00,,,,,,4.10
342,HD 169830,c,2102.00000000,6299.00,,,,,,4.10
343,HD 170469,b,1145.00000000,5810.00,1.22,,,,,4.32
344,HD 17092,b,359.90000000,4650.00,,,,,,3.00
345,HD 171028,b,550.00000000,5663.00,1.95,,,,,3.84
346,HD 171238,b,1523.00000000,5467.00,,,,,,4.43
347,HD 17156,b,21.21663000,6100.00,1.44,,,0.1338000,,4.22
348,HD 173416,b,323.60000000,4683.00,13.50,,,,,2.48
349,HD 175167,b,1290.00000000,,,,,,,
350,HD 175541,b,297.30000000,5060.00,3.80,,,,,3.52
351,HD 177830,b,406.60000000,4949.00,2.62,,,,,3.65
352,HD 177830,c,110.90000000,4949.00,2.62,,,,,3.65
353,HD 178911 B,b,71.48400000,,,,,,,
354,HD 179079,b,14.47600000,5684.00,1.60,,,,,4.06
355,HD 179949,b,3.09251400,6168.00,,,,,,4.34
356,HD 180314,b,396.03000000,4917.00,9.20,,,,,2.98
357,HD 180902,b,479.00000000,5030.00,4.10,,,,,3.50
358,HD 181342,b,663.00000000,5014.00,4.60,,,,,3.40
359,HD 181433,b,9.37430000,4962.00,,,,,,4.37
360,HD 181433,c,962.00000000,4962.00,,,,,,4.37
361,HD 181433,d,2172.00000000,4962.00,,,,,,4.37
362,HD 181720,b,956.00000000,5781.00,1.39,,,,,4.24
363,HD 183263,b,626.50000000,5936.00,,,,,,4.40
364,HD 183263,c,3070.00000000,5936.00,,,,,,4.40
365,HD 185269,b,6.83800000,5980.00,1.88,,,,,3.94
366,HD 187085,b,986.00000000,6075.00,,,,,,
367,HD 187123,b,3.09658280,5830.00,,,,,,
368,HD 187123,c,3810.00000000,5830.00,,,,,,
369,HD 18742,b,772.00000000,,,,,,,
370,HD 188015,b,461.20000000,5746.00,,,,,,4.45
371,HD 189733,b,2.21857578,5050.00,0.75,1191,,,,4.61
372,HD 190360,b,2915.00000000,5590.00,1.13,,,,,4.48
373,HD 190360,c,17.11100000,5590.00,1.13,,,,,4.48
374,HD 190647,b,1038.10000000,5628.00,,,,,,4.18
375,HD 190984,b,4885.00000000,5988.00,1.53,,,,,4.02
376,HD 192263,b,24.35560000,,,,,,,
377,HD 192310,b,74.72000000,5166.00,,355,,,,4.51
378,HD 192310,c,525.80000000,5166.00,,185,,,,4.51
379,HD 192699,b,345.53000000,5220.00,3.90,,,,,3.44
380,HD 195019,b,18.20132000,5788.00,,,,,,4.22
381,HD 196050,b,1378.00000000,5892.00,,,,,,4.27
382,HD 196067,b,3638.00000000,6017.00,1.73,,,,,4.24
383,HD 196885,b,1333.00000000,6254.00,1.31,,,,,4.31
384,HD 197037,b,1035.70000000,,,,,,,
385,HD 19994,b,466.20000000,6190.00,,,,,,4.19
386,HD 200964,b,613.80000000,5164.00,4.30,,,,,3.60
387,HD 200964,c,825.00000000,5164.00,4.30,,,,,3.60
388,HD 202206,b,255.87000000,5765.00,,,,,,4.75
389,HD 202206,c,1383.40000000,5765.00,,,,,,4.75
390,HD 203030,b,,,,1206,,,,
391,HD 2039,b,1120.00000000,5941.00,,,,,,4.38
392,HD 204313,b,1920.10000000,5760.00,,,,,,4.45
393,HD 204313,d,2831.60000000,5760.00,,,,,,4.45
394,HD 204941,b,1733.00000000,5056.00,0.72,,,,,4.48
395,HD 205739,b,279.80000000,6176.00,1.33,,,,,4.29
396,HD 206610,b,610.00000000,4874.00,6.10,,,,,3.30
397,HD 20782,b,577.90000000,5758.00,,,,,,
398,HD 207832,b,161.97000000,5710.00,0.90,,,,,
399,HD 207832,c,1155.70000000,5710.00,0.90,,,,,
400,HD 20794,b,18.31500000,,,660,,,,
